words,labels,entities,term_list
"['Matej', 'Supej', ';', 'likovni', 'material', 'Matej', 'Supej', ',', 'Ivan', 'Čuk', ',', 'Stanko', 'Štuhec', '.', '-', 'Ljubljana', ':', 'Fakulteta', 'za', 'šport', ',', 'Inštitut', 'za', 'šport', ',']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Po', 'sklepu', 'dekana', 'je', 'delo', 'Biomehanika', '1', '-', 'učbenik', 'za', 'študente', 'Fakultete', 'za', 'šport', 'avtorja', 'M.', 'Supeja', ',', 'prvi', 'učbenik', 'za', 'študente', 'Fakultete', 'za', 'šport', 'za', 'predmet', 'Biomehanika', '1.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 27, 27), ('Term', 5, 5)}","['Biomehanika', 'Biomehanika']"
"['Vse', 'pravice', 'so', 'pridržane', '.']","['O', 'O', 'O', 'O', 'O']",set(),[]
"['Ponatis', '(', 'grafični', ',', 'elektronski', 'ali', 'mehanski', ',', 'vključno', 's', 'fotokopiranje', ',', 'snemanjem', 'ali', 'prenosom', 'v', 'baze', 'podatkov', ')', 'celotne', 'ali', 'posameznih', 'delov', 'je', 'dovoljen', 'le', 's', 'pisnim', 'soglasjem', 'nosilcev', 'avtorskih', 'pravic', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O']","{('Term', 29, 31), ('Term', 16, 17)}","['nosilcev avtorskih pravic', 'baze podatkov']"
"['Knjigo', 'posvečam', 'svoji', 'mali', 'princeski', 'Uli', 'in', 'se', 'ji', 'opravičujem', 'za', 'vse', 'zamujene', 'ure', 'ob', 'njenem', 'nastajanju', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Vse', 'to', 'ne', 'bi', 'bilo', 'mogoče', ',', 'če', 'moja', 'draga', 'Tina', 'ne', 'bi', 'prevzela', 'vloge', 'mamice', 'in', 'očija', 'hkrati', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Zahvalil', 'bi', 'se', 'svojim', 'staršem', ',', 'ki', 'so', 'mi', 'stali', 'ob', 'strani', 'pri', 'izbiri', 'študija', 'fizike', 'in', 'me', 'podpirali', 'pri', 'moji', 'športni', 'poti', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 15, 15)}",['fizike']
"['Šport', 'v', 'širšem', 'smislu', 'niso', 'le', '»', 'gladiatorska', '«', 'tekmovanja', ',', 'kjer', 'se', 'vrhunski', 'športniki', 'bojujejo', 'za', 'stotinke', 'in', 'milimetre', ',', 'ampak', 'je', 'to', 'tudi', 'zdrav', 'in', 'aktiven', 'način', 'življenja', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Šport', 'izboljšuje', 'kakovost', 'življenja', 'in', 'omogoča', 'zdravo', 'interesno', 'druženje', 'ljudi', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Tako', 'na', 'ravni', 'vrhunskega', 'kot', 'tudi', 'rekreativnega', 'športa', 'sta', 'izjemno', 'pomembna', 'njegovo', 'proučevanje', 'in', 'razumevanje', ',', 'saj', 'lahko', 'le', 'tako', 'zagotovimo', 'na', 'eni', 'strani', 'vrhunske', 'rezultate', 'in', 'na', 'drugi', 'zdravo', 'udejstvovanje', 's', 'športom', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 7)}",['rekreativnega športa']
