words,labels,entities,term_list
"['Izvirni', 'znanstveni', 'članek']","['O', 'O', 'O']",set(),[]
"['VPLIV', 'PAKIRANJA', 'ZGOREVALNE', 'ZMESI', 'NA', 'POTEK', 'SINTEZE', 'PRI', 'CITRATNO', 'NITRATNEM', 'POSTOPKU']","['O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'B-Term', 'O', 'B-Term', 'I-Term', 'I-Term']","{('Term', 6, 6), ('Term', 2, 3), ('Term', 8, 10)}","['SINTEZE', 'ZGOREVALNE ZMESI', 'CITRATNO NITRATNEM POSTOPKU']"
"['Lastnosti', 'prahov', ',', 'ki', 'nastanejo', 'pri', 'zgorevalni', 'sintezi', 'v', 'sistemih', 'gorivo', '/', 'nitrat', ',', 'niso', 'odvisne', 'le', 'od', 'redukcijsko-oksidacijskega', 'razmerja', ',', 'temveč', 'tudi', 'od', 'geometrije', 'reakcijske', 'zmesi', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'IN-Term', 'O']","{('Term', 6, 7), ('Term', 9, 12), ('Term', 1, 1), ('Term', 24, 26), ('Term', 18, 19)}","['zgorevalni sintezi', 'sistemih gorivo / nitrat', 'prahov', 'geometrije reakcijske zmesi', 'redukcijsko-oksidacijskega razmerja']"
"['Te', 'vplive', 'smo', 'spremljali', 'pri', 'zgorevanju', 'citratno-nitratnih', 'gelov', 'lantanovega', 'kromita', ',', 'dopiranega', 's', 'stroncijem', '(', 'LSC', ')', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'B-Term', 'I-Term', 'B-Term', 'IN-Term', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O']","{('Term', 6, 7), ('Term', 13, 13), ('Term', 5, 5), ('Term', 15, 15), ('Term', 8, 9)}","['citratno-nitratnih gelov', 'stroncijem', 'zgorevanju', 'LSC', 'lantanovega kromita']"
"['Ugotovili', 'smo', ',', 'da', 'geometrija', 'zgorevalne', 'mešanice', 'določa', 'čas', 'pri', 'temperaturi', 'sinteze', 'ter', 's', 'tem', 'specifično', 'površino', 'nastalih', 'produktov', ',', 'vrsto', 'kristalnih', 'faz', 'in', 'stopnjo', 'pretvorbe', '.']","['O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'B-Term', 'O']","{('Term', 18, 18), ('Term', 11, 11), ('Term', 4, 6), ('Term', 25, 25), ('Term', 15, 16), ('Term', 21, 22)}","['produktov', 'sinteze', 'geometrija zgorevalne mešanice', 'pretvorbe', 'specifično površino', 'kristalnih faz']"
"['Sinteza', 'v', 'nasuti', 'plasti', 'poteče', 'za', 'stehiometrijske', 'mešanice', 'v', 'nekaj', 'sekundah', ',', 'medtem', 'ko', 'so', 'sinteze', 'v', 'tableti', 'potekale', 'nekaj', 'deset', 'sekund', '.']","['B-Term', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 7), ('Term', 15, 15), ('Term', 17, 17), ('Term', 2, 3), ('Term', 0, 0)}","['stehiometrijske mešanice', 'sinteze', 'tableti', 'nasuti plasti', 'Sinteza']"
"['Naravo', 'aglomeratov', 'v', 'produktu', 'smo', 'spremljali', 'z', 'elektronsko', 'mikroskopijo', 'zelenih', 'tablet', ',', 'stisnjenih', 'pri', 'tlaku', '300', 'MPa', '.']","['O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O']","{('Term', 3, 3), ('Term', 14, 14), ('Term', 7, 10), ('Term', 1, 1)}","['produktu', 'tlaku', 'elektronsko mikroskopijo zelenih tablet', 'aglomeratov']"
"['S', 'termično', 'analizo', 'smo', 'ugotavljali', 'zreagiranost', 'produktov', 'sinteze', '.']","['O', 'B-Term', 'IN-Term', 'O', 'O', 'B-Term', 'BN-Term', 'IN-Term', 'O']","{('Term', 6, 7), ('Term', 5, 5), ('Term', 1, 2)}","['produktov sinteze', 'zreagiranost', 'termično analizo']"
"['Ključne', 'besede', ':', 'lantanov', 'kromit', ',', 'geometrija', 'zgorevalne', 'zmesi', ',', 'zgorevalna', 'sinteza']","['O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'IN-Term', 'IN-Term', 'O', 'B-Term', 'IN-Term']","{('Term', 3, 4), ('Term', 6, 8), ('Term', 10, 11)}","['lantanov kromit', 'geometrija zgorevalne zmesi', 'zgorevalna sinteza']"
"['1', 'UVOD']","['O', 'O']",set(),[]
"['Material', ',', 'ki', 'se', 'dandanes', 'največ', 'uporablja', 'za', 'vmesnik', 'v', 'visokotemperaturnih', 'gorivnih', 'celicah', 's', 'trdnim', 'elektrolitom', '(', 'SOFC', ')', ',', 'je', 'lantanov', 'kromit', ',', 'substituiran', 'z', 'elementi', 'zemljoalkalijskih', 'kovin', '(', 'Ca', ',', 'Sr', 'in', 'Mg', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 10, 12), ('Term', 17, 17), ('Term', 14, 15), ('Term', 21, 22), ('Term', 27, 28), ('Term', 8, 8)}","['visokotemperaturnih gorivnih celicah', 'SOFC', 'trdnim elektrolitom', 'lantanov kromit', 'zemljoalkalijskih kovin', 'vmesnik']"
