words,labels,entities,term_list
"['Strokovnjaki', 'in', 'drugi', 'uporabniki', 'terminologije', 'kot', 'naslovniki', 'terminoloških', 'slovarjev']","['B-Term', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'BN-Term', 'IN-Term', 'IN-Term']","{('Term', 3, 4), ('Term', 6, 8), ('Term', 0, 0)}","['uporabniki terminologije', 'naslovniki terminoloških slovarjev', 'Strokovnjaki']"
"['V', 'članku', 'smo', 'opredelili', 'uporabnike', 'terminologije', ',', 'ki', 'se', 's', 'terminologijo', 'ukvarjajo', 'vsak', 's', 'svojega', 'vidika', ',', 'zaradi', 'česar', 'imajo', 'kot', 'naslovniki', 'terminoloških', 'slovarjev', 'različne', 'potrebe', '.']","['O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O']","{('Term', 10, 10), ('Term', 21, 23), ('Term', 4, 5)}","['terminologijo', 'naslovniki terminoloških slovarjev', 'uporabnike terminologije']"
"['Osnovna', 'razlika', 'med', 'skupinami', 'uporabnikov', 'je', ',', 'da', 'samo', 'strokovnjaki', 'terminologijo', 'razumejo', 'kot', 'nabor', 'poimenovanj', 'za', 'pojme', 'iz', 'pojmovnega', 'sistema', 'posameznega', 'strokovnega', 'področja', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'IN-Term', 'O', 'B-Term', 'I-Term', 'O']","{('Term', 10, 10), ('Term', 16, 16), ('Term', 9, 9), ('Term', 21, 22), ('Term', 18, 19), ('Term', 4, 4)}","['terminologijo', 'pojme', 'strokovnjaki', 'strokovnega področja', 'pojmovnega sistema', 'uporabnikov']"
"['Terminologijo', 'prepoznavajo', 'kot', 'poimenovanja', 'za', 'specializirano', 'vsebino', ',', 'ki', 'jo', 'poimenujejo', '.']","['B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 0, 0)}",['Terminologijo']
"['Ostale', 'skupine', 'uporabnikov', 'terminologije', 'se', 's', 'terminologijo', 'ne', 'ukvarjajo', 'na', 'pojmovni', 'ravni', ',', 'ampak', 'na', 'izrazni', '.']","['O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 6), ('Term', 2, 3)}","['terminologijo', 'uporabnikov terminologije']"
"['Terminološki', 'slovar', 'oz.', 'informacije', ',', 'ki', 'jih', 'vsebuje', ',', 'morajo', 'biti', 'zato', 'prilagojene', 'naslovnikom', 'slovarja', '.']","['B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 13, 14), ('Term', 0, 1)}","['naslovnikom slovarja', 'Terminološki slovar']"
"['Ključne', 'besede', ':', 'terminologija', ',', 'terminološki', 'slovar', ',', 'uporabniki', 'terminologije', ',', 'naslovniki', 'terminoloških', 'slovarjev']","['O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'IN-Term', 'O', 'BN-Term', 'IN-Term', 'O', 'BN-Term', 'IN-Term', 'IN-Term']","{('Term', 8, 9), ('Term', 3, 3), ('Term', 11, 13), ('Term', 5, 6)}","['uporabniki terminologije', 'terminologija', 'naslovniki terminoloških slovarjev', 'terminološki slovar']"
"['V', 'slovenskem', 'prostoru', 'so', 'naslovniki', 'terminoloških', 'slovarjev', 'tipično', 'strokovnjaki', ',', 'ki', 'imajo', 'vsaj', 'diplomo', 's', 'svojega', 'strokovnega', 'področja', 'oz.', 'študentje', 'stroke', ',', 'ki', 'jo', 'uslovarja', 'slovar', '.']","['O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 4, 6), ('Term', 8, 8), ('Term', 16, 17)}","['naslovniki terminoloških slovarjev', 'strokovnjaki', 'strokovnega področja']"
"['Terminološki', 'slovarji', 'naj', 'bi', 'predstavljali', 'pojmovni', 'sistem', 'stroke', 'in', 'medsebojna', 'razmerja', 'med', 'pojmi', ',', 'pri', 'čemer', 'se', 'predvideva', ',', 'da', 'naslovnik', 'pojmovni', 'sistem', 'stroke', 'že', 'bolj', 'ali', 'manj', 'pozna', '.']","['B-Term', 'IN-Term', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 12, 12), ('Term', 5, 7), ('Term', 0, 1), ('Term', 21, 23)}","['pojmi', 'pojmovni sistem stroke', 'Terminološki slovarji', 'pojmovni sistem stroke']"
"['V', 'članku', 'se', 'bomo', 'osredotočili', 'na', 'strokovnjake', 'kot', 'naslovnike', 'slovarja', 'in', 'ugotavljali', ',', 'kakšen', 'terminološki', 'slovar', 'potrebujejo', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'O']","{('Term', 6, 6), ('Term', 14, 15), ('Term', 8, 9)}","['strokovnjake', 'terminološki slovar', 'naslovnike slovarja']"
