words,labels,entities,term_list
"['Andrej', 'Kirbiš', ',', 'Manja', 'Križman', ',', 'Petra', 'Raspor', 'Lainšček']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['VETERINARSKOSANITARNI', 'NADZOR', 'KLAVNIH', 'ŽIVALI', 'IN', 'MESA']","['B-Term', 'I-Term', 'B-Term', 'I-Term', 'O', 'B-Term']","{('Term', 2, 3), ('Term', 5, 5), ('Term', 0, 1)}","['KLAVNIH ŽIVALI', 'MESA', 'VETERINARSKOSANITARNI NADZOR']"
"['UČBENIK', 'ZA', 'ŠTUDENTE', 'VETERINARSKE', 'MEDICINE']","['B-Term', 'O', 'O', 'B-Term', 'I-Term']","{('Term', 3, 4), ('Term', 0, 0)}","['VETERINARSKE MEDICINE', 'UČBENIK']"
"['Ljubljana', ',', '2013']","['O', 'O', 'O']",set(),[]
"['Avtorji', ':', 'doc.', 'dr.', 'Andrej', 'Kirbiš', ',', 'dr.', 'vet', '.', 'med', '.', 'asist.', 'Manja', 'Križman', ',', 'dr.', 'vet', '.', 'med', '.', 'asist.', 'Petra', 'Raspor', 'Lainšček', ',', 'dr.', 'vet', '.', 'med', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Recenzenta', ':', 'prof.', 'dr.', 'Janez', 'Marinšek', ',', 'dr.', 'vet', '.', 'med', '.', 'prof.', 'dr.', 'Robert', 'Frangež', ',', 'dr.', 'vet', '.', 'med', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Lektorica', ':', 'Aleksandra', 'Kozarov', ',', 'univ', '.', 'dipl.', 'slov.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Fotografije', 'in', 'ilustracije', ':', 'doc.', 'dr.', 'Andrej', 'Kirbiš', ',', 'dr.', 'vet', '.', 'med', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Luka', 'Milčinski']","['O', 'O']",set(),[]
"['Založnik', ':', 'Veterinarska', 'fakulteta', 'Univerze', 'v', 'Ljubljani', ',', 'Gerbičeva', '60', ',', '1000', 'Ljubljana', ',', 'Slovenija']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Oblikovanje', ':', 'Luka', 'Milčinski']","['O', 'O', 'O', 'O']",set(),[]
"['Leto', 'izida', ':', '2013']","['O', 'O', 'O', 'O']",set(),[]
"['Vse', 'pravice', 'pridržane', '.']","['O', 'O', 'O', 'O']",set(),[]
"['Nobenega', 'dela', 'te', 'publikacije', 'se', 'ne', 'sme', 'reproducirati', 'ali', 'posredovati', 'v', 'kakršnikoli', 'obliki', 'brez', 'predhodnega', 'pisnega', 'dovoljenja', 'avtorjev']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
